Idade,Gênero,Série,Média de Notas,Frequência,Participação em Atividades Extracurriculares,Motivo da Evasão,Renda Familiar,Localização,Evasao
15,Feminino,3,8.2,80%,Sim,0,909,Urbana,0
18,Feminino,1,6.7,90%,Sim,0,628,Urbana,1
16,Masculino,1,5.5,80%,Sim,0,2671,Urbana,1
15,Masculino,3,5.9,90%,Sim,Falta de Apoio Familiar,2853,Urbana,1
18,Masculino,1,9.0,50%,Não,0,2971,Rural,1
18,Feminino,2,5.8,80%,Sim,0,886,Urbana,0
18,Feminino,3,4.2,80%,Sim,0,1722,Urbana,1
18,Feminino,1,7.0,80%,Sim,0,1281,Rural,1
16,Masculino,3,3.6,90%,Não,Outros,2312,Urbana,1
18,Masculino,3,9.7,80%,Sim,Falta de Apoio Escolar,1384,Rural,1
16,Feminino,2,8.7,70%,Não,0,1156,Urbana,0
17,Masculino,3,1.6,50%,Sim,0,1714,Urbana,1
15,Masculino,3,6.8,60%,Não,0,527,Urbana,0
18,Feminino,3,0.3,60%,Sim,0,1402,Urbana,1
17,Masculino,3,8.9,90%,Não,Falta de Apoio Escolar,2912,Urbana,1
15,Masculino,3,8.4,50%,Sim,0,1054,Rural,1
15,Masculino,1,5.1,50%,Sim,0,899,Urbana,1
15,Feminino,3,1.3,60%,Não,0,2480,Rural,1
17,Masculino,1,6.2,90%,Não,0,1018,Rural,0
16,Feminino,1,2.4,70%,Sim,Falta de Interesse,1105,Rural,1
17,Masculino,2,6.3,50%,Sim,0,2403,Rural,0
18,Feminino,2,6.9,60%,Sim,0,2445,Rural,0
18,Masculino,3,1.1,70%,Não,Outros,2112,Rural,1
17,Feminino,2,4.8,70%,Não,Falta de Apoio Escolar,2612,Urbana,1
15,Feminino,1,5.9,70%,Não,Problemas de Saúde,1458,Rural,1
16,Masculino,3,2.5,80%,Não,0,550,Urbana,1
16,Masculino,2,2.0,70%,Sim,Problemas Financeiros,677,Urbana,1
16,Feminino,1,6.4,70%,Não,0,1936,Urbana,1
16,Masculino,2,7.6,60%,Não,0,1518,Rural,0
15,Feminino,3,3.6,90%,Sim,0,2997,Urbana,1
16,Masculino,2,7.1,80%,Não,Falta de Interesse,1574,Urbana,1
15,Feminino,3,5.9,60%,Sim,Problemas Familiares,2939,Rural,1
18,Masculino,3,8.1,60%,Não,0,2524,Rural,0
15,Masculino,2,2.0,70%,Sim,0,2865,Rural,0
18,Masculino,3,8.0,80%,Sim,Problemas de Saúde,994,Urbana,1
16,Masculino,3,2.7,90%,Sim,Outros,1674,Rural,1
17,Feminino,3,3.0,90%,Sim,0,1282,Rural,1
18,Feminino,3,9.8,60%,Sim,0,819,Rural,0
